Waf: Entering directory `/home/fk/ns-3.29/bake/source/ns-3.29/build'
[2603/2653] Compiling scratch/vanet3-p2p.cc
[2612/2653] Linking build/scratch/vanet3-p2p
Waf: Leaving directory `/home/fk/ns-3.29/bake/source/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (8.231s)
n
n
n
n
n
n
n
n
n
n
n
Promiscuous, NodeId, 19, , from, 02-06-00:00:00:00:00:0f, uid, 0, RXtime, +18368733.0ns,
Promiscuous, NodeId, 13, , from, 02-06-00:00:00:00:00:0f, uid, 0, RXtime, +18368883.0ns,
Promiscuous, NodeId, 18, , from, 02-06-00:00:00:00:00:0f, uid, 0, RXtime, +18368884.0ns,
Promiscuous, NodeId, 12, , from, 02-06-00:00:00:00:00:0f, uid, 0, RXtime, +18369050.0ns,
Promiscuous, NodeId, 17, , from, 02-06-00:00:00:00:00:0f, uid, 0, RXtime, +18369050.0ns,
Promiscuous, NodeId, 0, , from, 02-06-00:00:00:00:00:02, uid, 4, RXtime, +30403516.0ns,
Promiscuous, NodeId, 2, , from, 02-06-00:00:00:00:00:02, uid, 4, RXtime, +30403656.0ns,
Promiscuous, NodeId, 3, , from, 02-06-00:00:00:00:00:02, uid, 4, RXtime, +30403728.0ns,
Promiscuous, NodeId, 13, , from, 02-06-00:00:00:00:00:13, uid, 8, RXtime, +32181271.0ns,
Promiscuous, NodeId, 17, , from, 02-06-00:00:00:00:00:13, uid, 8, RXtime, +32181421.0ns,
Promiscuous, NodeId, 19, , from, 02-06-00:00:00:00:00:13, uid, 8, RXtime, +32181421.0ns,
Promiscuous, NodeId, 12, , from, 02-06-00:00:00:00:00:13, uid, 8, RXtime, +32181422.0ns,
Promiscuous, NodeId, 14, , from, 02-06-00:00:00:00:00:13, uid, 8, RXtime, +32181422.0ns,
Promiscuous, NodeId, 11, , from, 02-06-00:00:00:00:00:13, uid, 8, RXtime, +32181588.0ns,
Promiscuous, NodeId, 16, , from, 02-06-00:00:00:00:00:13, uid, 8, RXtime, +32181588.0ns,
Promiscuous, NodeId, 5, , from, 02-06-00:00:00:00:00:07, uid, 12, RXtime, +48400095.0ns,
Promiscuous, NodeId, 7, , from, 02-06-00:00:00:00:00:07, uid, 12, RXtime, +48400194.0ns,
Promiscuous, NodeId, 4, , from, 02-06-00:00:00:00:00:07, uid, 12, RXtime, +48400250.0ns,
Promiscuous, NodeId, 8, , from, 02-06-00:00:00:00:00:07, uid, 12, RXtime, +48400330.0ns,
